Date,Close/Last,Volume,Open,High,Low
09/19/2023,$19.84,2129769,$19.53,$19.88,$19.31
09/18/2023,$19.23,2689855,$19.77,$19.91,$19.22
09/15/2023,$19.26,976507,$19.30,$19.44,$18.94
09/14/2023,$19.46,1709698,$19.60,$19.79,$19.38
09/13/2023,$19.21,1834490,$19.38,$19.75,$19.12
09/12/2023,$19.26,2406571,$19.37,$19.58,$19.10
09/11/2023,$18.65,2104557,$19.20,$19.34,$18.55
09/08/2023,$19.30,2226141,$19.24,$19.51,$19.195
09/07/2023,$19.30,2071540,$18.51,$19.34,$18.40
09/06/2023,$18.60,2117348,$18.56,$18.98,$18.25
09/05/2023,$18.55,1827313,$18.43,$18.75,$18.40
09/01/2023,$18.48,2281710,$18.55,$18.69,$18.17
08/31/2023,$18.71,4813204,$19.74,$19.98,$18.50
08/30/2023,$19.71,5290147,$20.23,$20.40,$19.55
08/29/2023,$20.56,19555240,$17.66,$21.21,$17.63
08/28/2023,$17.58,1189749,$17.45,$17.75,$17.43
08/25/2023,$17.35,1817605,$17.86,$18.07,$17.27
08/24/2023,$17.68,1444046,$18.07,$18.12,$17.50
08/23/2023,$18.19,2486841,$17.03,$18.20,$17.03
08/22/2023,$17.00,1847830,$17.21,$17.39,$17.00
08/21/2023,$17.21,2381270,$17.42,$17.48,$17.04
08/18/2023,$17.40,4629880,$17.79,$18.11,$17.00
08/17/2023,$18.5333,4558746,$19.15,$19.60,$18.25
08/16/2023,$19.46,2700970,$19.65,$19.76,$19.26
08/15/2023,$19.66,2504583,$20.06,$20.45,$19.64
08/14/2023,$20.12,2718106,$19.82,$20.44,$19.75
08/11/2023,$19.82,1795929,$19.83,$20.25,$19.76
08/10/2023,$19.80,2212425,$19.80,$20.24,$19.75
08/09/2023,$19.67,3137993,$20.13,$20.49,$19.60
08/08/2023,$20.09,3395389,$19.44,$20.2401,$19.20
08/07/2023,$19.16,2354113,$19.20,$19.26,$18.80
08/04/2023,$19.22,1492114,$19.19,$19.58,$19.12
08/03/2023,$19.30,2395281,$19.12,$19.68,$18.95
08/02/2023,$19.16,2735619,$19.07,$19.25,$18.62
08/01/2023,$19.04,2756860,$18.79,$19.12,$18.3175
07/31/2023,$19.13,1873173,$18.86,$19.17,$18.78
07/28/2023,$18.725,2168414,$18.55,$18.96,$18.45
07/27/2023,$18.39,2767915,$19.33,$19.42,$18.35
07/26/2023,$19.26,1255379,$19.20,$19.40,$19.12
07/25/2023,$19.17,1628281,$19.15,$19.42,$19.10
07/24/2023,$19.20,3188585,$19.41,$19.55,$18.75
07/21/2023,$19.875,1555394,$19.64,$19.98,$19.60
07/20/2023,$19.59,3096725,$20.25,$20.35,$19.48
07/19/2023,$20.08,2193673,$19.83,$20.25,$19.82
07/18/2023,$19.71,5902478,$19.87,$20.30,$10.875
07/17/2023,$19.92,3366408,$19.86,$20.54,$19.70
07/14/2023,$19.75,6360868,$21.13,$21.46,$19.41
07/13/2023,$21.38,8568151,$19.84,$21.88,$19.84
07/12/2023,$19.70,3466132,$20.00,$20.36,$19.62
07/11/2023,$19.93,2930329,$19.89,$20.275,$19.81
07/10/2023,$19.99,2699682,$19.80,$20.03,$19.67
07/07/2023,$19.81,2538881,$19.92,$20.42,$19.78
07/06/2023,$20.08,2798538,$20.25,$20.33,$19.26
07/05/2023,$20.14,3408369,$20.20,$20.47,$19.90
07/03/2023,$20.45,3194169,$19.30,$20.85,$19.23
06/30/2023,$19.19,7375410,$19.86,$19.96,$17.80
06/29/2023,$19.55,2551691,$19.00,$19.60,$19.00
06/28/2023,$18.61,4284985,$19.15,$19.48,$18.50
06/27/2023,$19.47,4628253,$18.47,$19.55,$18.38
06/26/2023,$18.18,5096974,$18.99,$19.58,$17.829
06/23/2023,$19.19,6493861,$18.05,$19.54,$17.70
06/22/2023,$18.00,4878561,$18.01,$18.59,$17.51
06/21/2023,$17.72,9569062,$17.55,$18.64,$17.52
06/20/2023,$16.85,10239380,$15.30,$17.73,$15.27
06/16/2023,$15.12,5265489,$13.69,$16.10,$13.45
06/15/2023,$13.40,2240573,$13.04,$13.45,$12.86
06/14/2023,$13.26,1213589,$13.05,$13.45,$13.03
06/13/2023,$13.11,1798234,$13.15,$13.33,$13.03
06/12/2023,$13.12,2281089,$13.50,$13.50,$13.02
06/09/2023,$13.54,1358753,$13.85,$13.95,$13.52
06/08/2023,$13.85,1095608,$13.77,$14.05,$13.72
06/07/2023,$13.83,1816361,$14.24,$14.40,$13.75
06/06/2023,$14.47,2142152,$13.50,$14.54,$13.39
06/05/2023,$13.6805,1763060,$14.22,$14.26,$13.39
06/02/2023,$14.38,1345273,$14.15,$14.41,$14.11
06/01/2023,$14.05,1657918,$13.74,$14.08,$13.71
05/31/2023,$13.89,1126213,$13.95,$14.03,$13.75
05/30/2023,$14.35,1878244,$14.31,$14.50,$14.06
05/26/2023,$13.83,1410176,$13.805,$14.18,$13.71
05/25/2023,$13.76,1274221,$13.82,$13.89,$13.62
05/24/2023,$13.695,2256345,$14.10,$14.14,$13.59
05/23/2023,$14.33,1112326,$14.33,$14.65,$14.28
05/22/2023,$14.19,1563158,$14.32,$14.57,$14.16
05/19/2023,$14.39,1124467,$14.48,$14.55,$14.26
05/18/2023,$14.42,1538428,$14.88,$14.94,$14.235
05/17/2023,$15.02,1374595,$14.51,$15.06,$14.38
05/16/2023,$14.63,1610579,$14.84,$14.90,$14.57
05/15/2023,$15.00,2207256,$14.64,$15.09,$14.42
05/12/2023,$14.26,3026528,$14.38,$14.79,$13.89
05/11/2023,$14.66,2557754,$15.31,$15.32,$14.46
05/10/2023,$15.39,2078687,$15.84,$16.20,$15.03
05/09/2023,$15.66,1037151,$15.59,$15.94,$15.54
05/08/2023,$15.51,2502519,$16.12,$16.24,$15.44
05/05/2023,$16.81,1323826,$16.58,$16.95,$16.55
05/04/2023,$16.55,1844864,$16.47,$16.8367,$16.38
05/03/2023,$16.35,1700590,$15.97,$16.36,$15.90
05/02/2023,$16.21,2415057,$15.32,$16.25,$15.30
05/01/2023,$15.25,1782212,$16.13,$16.175,$15.25
04/28/2023,$16.42,1241480,$16.26,$16.51,$15.95
04/27/2023,$16.44,1946129,$15.59,$16.60,$15.52
04/26/2023,$15.10,2533463,$16.05,$16.25,$14.97
04/25/2023,$14.96,1877984,$15.01,$15.10,$14.60
04/24/2023,$14.99,2479504,$15.14,$15.51,$14.78
04/21/2023,$15.20,2471072,$15.71,$15.83,$15.16
04/20/2023,$15.82,2678121,$16.12,$16.17,$15.75
04/19/2023,$16.34,3917068,$16.77,$16.89,$15.91
04/18/2023,$17.14,2385097,$17.24,$17.62,$17.03
04/17/2023,$16.81,2322946,$16.80,$16.90,$16.49
04/14/2023,$17.43,3047620,$17.97,$18.27,$17.13
04/13/2023,$17.70,2587399,$17.29,$18.00,$17.27
04/12/2023,$17.07,2520701,$17.76,$17.78,$17.06
04/11/2023,$17.72,5157312,$17.72,$18.40,$17.56
04/10/2023,$17.14,4718942,$16.305,$17.54,$16.25
04/06/2023,$16.21,1517448,$16.135,$16.30,$15.81
04/05/2023,$16.19,1597888,$15.985,$16.24,$15.86
04/04/2023,$15.96,1925351,$16.21,$16.21,$15.90
04/03/2023,$16.05,2094894,$16.34,$16.46,$15.83
03/31/2023,$16.36,2681040,$15.915,$16.42,$15.91
03/30/2023,$15.82,1805444,$16.17,$16.18,$15.40
03/29/2023,$15.84,2629182,$16.10,$16.47,$15.78
03/28/2023,$15.61,2388605,$15.05,$15.89,$15.02
03/27/2023,$15.23,3310292,$15.63,$15.95,$15.01
03/24/2023,$16.00,2031347,$15.905,$16.24,$15.62
03/23/2023,$16.10,3915375,$15.48,$16.35,$15.30
03/22/2023,$15.08,5959085,$16.075,$16.75,$15.06
03/21/2023,$16.00,3754795,$16.11,$16.15,$15.56
03/20/2023,$16.00,6222882,$16.02,$16.24,$15.78
03/17/2023,$15.43,7795870,$14.76,$15.54,$14.66
03/16/2023,$14.05,3289691,$13.255,$14.20,$13.19
03/15/2023,$13.27,3124654,$13.55,$13.57,$12.70
03/14/2023,$13.49,5392708,$13.415,$13.60,$13.21
03/13/2023,$12.65,6768693,$12.24,$12.98,$11.75
03/10/2023,$11.23,2931704,$11.60,$12.20,$11.14
03/09/2023,$11.80,4156702,$13.055,$13.18,$11.71
03/08/2023,$13.24,4688018,$12.65,$13.54,$12.50
03/07/2023,$12.90,8000036,$11.77,$13.49,$11.40
03/06/2023,$11.77,2831717,$11.23,$11.89,$11.14
03/03/2023,$11.25,2982868,$11.015,$11.51,$10.89
03/02/2023,$11.51,1268562,$11.495,$11.56,$11.23
03/01/2023,$11.51,1382274,$11.665,$11.88,$11.51
02/28/2023,$11.54,1095313,$11.47,$11.77,$11.43
02/27/2023,$11.49,1214837,$11.735,$11.92,$11.42
02/24/2023,$11.46,1868158,$11.785,$11.86,$11.20
02/23/2023,$11.89,1554929,$11.895,$11.92,$11.58
02/22/2023,$11.58,3081758,$11.71,$11.88,$11.29
02/21/2023,$11.88,2418535,$12.20,$12.28,$11.85
02/17/2023,$12.20,3461556,$11.66,$12.28,$11.63
02/16/2023,$11.89,4128045,$12.025,$12.68,$11.88
02/15/2023,$12.17,3389808,$11.13,$12.25,$11.09
02/14/2023,$10.85,2373249,$10.39,$10.93,$10.30
02/13/2023,$10.39,2459566,$10.555,$10.65,$10.27
02/10/2023,$10.67,3298918,$10.635,$10.83,$10.56
02/09/2023,$10.63,4788889,$11.72,$11.79,$10.56
02/08/2023,$11.75,2027132,$12.21,$12.22,$11.66
02/07/2023,$12.15,2677634,$11.925,$12.18,$11.75
02/06/2023,$11.93,1704741,$12.195,$12.25,$11.91
02/03/2023,$12.32,2736044,$12.715,$12.88,$12.29
02/02/2023,$12.93,5826824,$12.855,$13.30,$12.52
02/01/2023,$12.65,2639985,$12.165,$12.69,$11.86
01/31/2023,$12.15,2250328,$11.95,$12.27,$11.94
01/30/2023,$11.89,4668241,$12.34,$12.43,$11.85
01/27/2023,$12.36,2308543,$12.16,$12.56,$12.06
01/26/2023,$12.24,2560465,$12.205,$12.31,$11.81
01/25/2023,$12.11,2922926,$11.765,$12.19,$11.35
01/24/2023,$11.97,3000427,$12.30,$12.35,$11.83
01/23/2023,$12.28,5911367,$12.305,$12.82,$11.88
01/20/2023,$12.18,4539639,$11.50,$12.25,$11.225
01/19/2023,$11.46,4372631,$10.545,$11.87,$10.54
01/18/2023,$10.83,5943844,$11.94,$12.00,$10.51
01/17/2023,$11.72,7197640,$12.02,$12.45,$11.30
01/13/2023,$11.32,5757951,$10.305,$11.43,$10.22
01/12/2023,$10.49,7541320,$10.205,$11.24,$9.90
01/11/2023,$9.80,2589526,$9.635,$9.96,$9.26
01/10/2023,$9.88,2622333,$9.705,$9.95,$9.45
01/09/2023,$9.65,5852866,$8.825,$9.83,$8.82
01/06/2023,$8.65,2183844,$8.31,$8.69,$8.25
01/05/2023,$8.45,2434526,$8.37,$8.49,$8.21
01/04/2023,$8.38,2291419,$8.28,$8.45,$8.13
01/03/2023,$8.20,2821640,$8.22,$8.24,$8.01
12/30/2022,$8.29,5127015,$7.795,$8.30,$7.79
12/29/2022,$7.98,4426863,$7.745,$8.04,$7.74
12/28/2022,$7.80,3886129,$7.835,$7.97,$7.73
12/27/2022,$7.86,4449992,$8.045,$8.20,$7.85
12/23/2022,$8.33,2210999,$8.065,$8.37,$8.05
12/22/2022,$8.15,3381448,$8.165,$8.20,$7.94
12/21/2022,$8.05,2538157,$8.00,$8.07,$7.92
12/20/2022,$8.08,3390337,$8.125,$8.30,$7.84
12/19/2022,$8.13,3558442,$7.935,$8.40,$7.93
12/16/2022,$7.93,3795928,$8.055,$8.13,$7.90
12/15/2022,$8.30,2934431,$8.21,$8.3525,$8.14
12/14/2022,$8.40,4894555,$8.405,$8.75,$8.30
12/13/2022,$8.29,4663798,$8.445,$8.57,$8.21
12/12/2022,$8.10,3656510,$7.835,$8.14,$7.83
12/09/2022,$8.03,8596664,$8.18,$8.24,$7.99
12/08/2022,$8.19,4662469,$8.115,$8.28,$8.11
12/07/2022,$8.11,6884857,$8.655,$8.69,$8.08
12/06/2022,$8.76,2382830,$8.85,$8.88,$8.60
12/05/2022,$8.82,2720520,$9.05,$9.14,$8.69
12/02/2022,$8.98,2340362,$8.825,$9.00,$8.79
12/01/2022,$8.89,3896885,$8.965,$9.18,$8.84
11/30/2022,$9.05,3699613,$8.875,$9.19,$8.71
11/29/2022,$8.69,3351348,$8.86,$8.91,$8.51
11/28/2022,$8.84,4074523,$8.755,$9.00,$8.51
11/25/2022,$9.03,1934728,$9.235,$9.34,$8.90
11/23/2022,$9.23,5144462,$8.75,$9.25,$8.75
11/22/2022,$8.444,13114110,$8.315,$9.18,$8.31
11/21/2022,$8.28,16232550,$7.945,$8.43,$7.46
11/18/2022,$8.35,12766480,$8.805,$8.82,$8.01
11/17/2022,$8.75,6988368,$9.005,$9.09,$8.67
11/16/2022,$9.20,11664740,$9.22,$9.385,$8.66
11/15/2022,$9.68,6307409,$9.42,$9.73,$9.28
11/14/2022,$8.955,9897745,$8.715,$9.03,$8.58
11/11/2022,$8.87,14607880,$8.94,$9.13,$8.43
11/10/2022,$9.65,10673750,$9.505,$9.74,$8.90
11/09/2022,$8.765,17370750,$10.115,$10.27,$8.67
11/08/2022,$10.564,13081390,$11.43,$12.13,$10.00
11/07/2022,$12.06,3329653,$12.145,$12.20,$12.01
11/04/2022,$12.2535,4966985,$12.275,$12.69,$12.07
11/03/2022,$11.82,3015593,$11.715,$11.98,$11.70
11/02/2022,$11.79,2871993,$12.115,$12.33,$11.74
11/01/2022,$12.03,2458518,$12.075,$12.21,$12.01
10/31/2022,$12.00,3079588,$12.005,$12.13,$11.79
10/28/2022,$12.06,4216120,$12.075,$12.15,$11.83
10/27/2022,$12.15,2644901,$12.545,$12.60,$12.12
10/26/2022,$12.52,6953844,$12.345,$12.95,$12.26
10/25/2022,$12.22,4324666,$11.58,$12.38,$11.56
10/24/2022,$11.55,2289335,$11.445,$11.64,$11.38
10/21/2022,$11.42,3351356,$11.18,$11.485,$11.14
10/20/2022,$11.27,2323913,$11.23,$11.43,$11.20
10/19/2022,$11.25,1372030,$11.275,$11.35,$11.15
10/18/2022,$11.31,2767615,$11.535,$11.58,$11.18
10/17/2022,$11.46,2120564,$11.42,$11.58,$11.34
10/14/2022,$11.16,2592242,$11.44,$11.49,$11.10
10/13/2022,$11.25,4464511,$10.765,$11.45,$10.68
10/12/2022,$11.21,1483669,$11.19,$11.35,$11.16
10/11/2022,$11.16,1944706,$11.285,$11.33,$11.07
10/10/2022,$11.33,2369199,$11.37,$11.44,$11.22
10/07/2022,$11.35,2751873,$11.78,$11.78,$11.29
10/06/2022,$11.95,2006882,$12.00,$12.12,$11.78
10/05/2022,$11.99,3698808,$11.89,$12.11,$11.71
10/04/2022,$12.10,3677230,$11.97,$12.21,$11.87
10/03/2022,$11.66,3100256,$11.365,$11.84,$11.29
09/30/2022,$11.41,2750203,$11.26,$12.00,$11.21
09/29/2022,$11.33,2558178,$11.54,$11.71,$11.17
09/28/2022,$11.68,2986800,$11.36,$11.78,$11.30
09/27/2022,$11.36,3357691,$11.98,$12.14,$11.15
09/26/2022,$11.39,2208743,$11.25,$11.53,$11.24
09/23/2022,$11.195,4061967,$11.50,$11.57,$11.03
09/22/2022,$11.74,2750790,$11.705,$11.84,$11.43
09/21/2022,$11.66,2534087,$11.86,$12.21,$11.60
09/20/2022,$11.66,1742279,$11.745,$11.94,$11.58
09/19/2022,$12.09,4131427,$11.565,$12.14,$11.50
09/16/2022,$11.98,2803635,$12.08,$12.12,$11.75
09/15/2022,$12.10,2135259,$12.39,$12.53,$12.06
09/14/2022,$12.36,2672105,$12.655,$12.70,$12.17
09/13/2022,$12.65,3090701,$13.455,$13.54,$12.48
09/12/2022,$14.15,3610967,$14.05,$14.27,$13.85
09/09/2022,$13.45,4067158,$13.16,$13.48,$13.10
09/08/2022,$12.11,2227158,$12.18,$12.39,$12.01
09/07/2022,$12.18,4411476,$11.685,$12.24,$11.67
09/06/2022,$11.72,4956951,$12.345,$12.47,$11.72
09/02/2022,$12.38,2457587,$12.635,$12.75,$12.18
09/01/2022,$12.28,3225227,$12.375,$12.42,$12.04
08/31/2022,$12.54,2365238,$12.54,$12.75,$12.32
08/30/2022,$12.34,2567606,$12.765,$12.83,$12.06
08/29/2022,$12.59,2666560,$12.255,$12.74,$12.21
08/26/2022,$12.667,2846416,$13.53,$13.58,$12.60
08/25/2022,$13.40,1283314,$13.54,$13.70,$13.33
08/24/2022,$13.59,1582635,$13.475,$13.73,$13.39
08/23/2022,$13.53,1986692,$13.16,$13.59,$13.13
08/22/2022,$12.94,2422491,$13.045,$13.23,$12.88
08/19/2022,$13.24,3975525,$13.45,$13.53,$13.19
08/18/2022,$14.48,2138882,$14.53,$14.68,$14.41
08/17/2022,$14.37,3095329,$14.765,$14.82,$14.32
08/16/2022,$14.94,1929299,$15.06,$15.11,$14.80
08/15/2022,$15.06,2426382,$15.185,$15.30,$15.00
08/12/2022,$15.22,3124029,$14.98,$15.35,$14.86
08/11/2022,$15.18,4200379,$15.625,$15.9235,$15.14
08/10/2022,$14.96,3890218,$15.14,$15.20,$14.76
08/09/2022,$14.35,3216239,$14.75,$14.79,$14.31
08/08/2022,$15.14,3930180,$14.89,$15.23,$14.88
08/05/2022,$14.23,2822009,$14.38,$14.59,$14.14
08/04/2022,$13.99,2676607,$14.14,$14.50,$13.94
08/03/2022,$14.52,4461694,$14.39,$14.70,$14.36
08/02/2022,$14.18,2909377,$14.15,$14.75,$14.00
08/01/2022,$14.21,2501635,$14.29,$14.73,$14.05
07/29/2022,$14.80,3871899,$14.67,$15.15,$14.48
07/28/2022,$14.83,5440178,$14.47,$14.92,$14.00
07/27/2022,$14.23,3672460,$13.22,$14.48,$13.18
07/26/2022,$13.00,3781601,$13.09,$13.25,$12.91
07/25/2022,$13.76,3744629,$14.13,$14.20,$13.55
07/22/2022,$14.48,3494472,$15.33,$15.47,$14.48
07/21/2022,$15.04,3624059,$14.92,$15.10,$14.52
07/20/2022,$15.58,6516274,$15.73,$16.15,$15.40
07/19/2022,$15.38,6147625,$14.59,$15.72,$14.42
07/18/2022,$14.08,4998906,$14.34,$14.85,$13.93
07/15/2022,$13.70,4207682,$13.55,$13.70,$13.21
07/14/2022,$13.13,3358071,$12.35,$13.30,$12.32
07/13/2022,$12.41,4400328,$12.05,$13.04,$11.92
07/12/2022,$12.21,3590743,$12.48,$13.63,$12.13
07/11/2022,$12.85,2516858,$13.05,$13.19,$12.76
07/08/2022,$13.77,3776176,$13.46,$14.12,$13.25
07/07/2022,$13.75,3506867,$12.66,$13.79,$12.55
07/06/2022,$12.58,4013221,$12.83,$12.89,$12.43
07/05/2022,$12.93,4583862,$12.25,$13.04,$12.10
07/01/2022,$12.25,5654079,$12.31,$12.60,$12.13
06/30/2022,$12.06,8480166,$12.59,$12.60,$11.95
06/29/2022,$13.32,4122784,$13.17,$13.38,$12.96
06/28/2022,$13.25,5574972,$13.60,$13.85,$13.18
06/27/2022,$13.51,5403045,$13.91,$13.94,$13.15
06/24/2022,$13.85,7367877,$13.885,$14.23,$13.40
06/23/2022,$13.69,5803687,$13.38,$13.71,$13.03
06/22/2022,$12.96,28321780,$13.16,$13.66,$12.731
06/21/2022,$13.51,31541070,$12.76,$14.00,$12.75
06/17/2022,$12.47,11288200,$12.53,$12.92,$12.00
06/16/2022,$12.735,8503449,$13.53,$13.77,$12.60
06/15/2022,$14.06,14055200,$13.88,$14.53,$13.17
06/14/2022,$14.36,9032836,$14.62,$15.24,$14.28
06/13/2022,$14.9835,12296260,$15.23,$15.94,$14.46
06/10/2022,$18.68,4147080,$19.07,$19.21,$18.45
06/09/2022,$19.41,2361330,$19.53,$20.02,$19.377
06/08/2022,$19.53,4892782,$19.66,$20.13,$19.45
06/07/2022,$20.22,3287698,$19.05,$20.40,$18.80
06/06/2022,$20.14,3755898,$20.50,$20.75,$19.91
06/03/2022,$19.26,2465469,$19.61,$19.665,$19.11
06/02/2022,$19.95,3508555,$19.12,$20.11,$19.08
06/01/2022,$19.47,3762311,$20.64,$20.84,$19.252
05/31/2022,$20.54,4838485,$20.71,$21.10,$20.11
05/27/2022,$18.96,3971472,$18.93,$19.29,$18.20
05/26/2022,$19.04,3659987,$18.12,$19.45,$18.02
05/25/2022,$19.07,2746143,$18.67,$19.43,$18.50
05/24/2022,$18.62,5386741,$18.44,$18.87,$17.95
05/23/2022,$18.44,3804566,$19.30,$20.00,$18.41
05/20/2022,$18.74,3936954,$19.83,$19.99,$18.27
05/19/2022,$19.53,5248514,$18.68,$19.82,$18.55
05/18/2022,$18.55,4761463,$18.975,$19.04,$18.12
05/17/2022,$19.31,4136583,$19.45,$19.85,$18.85
05/16/2022,$18.75,4423653,$19.425,$19.61,$18.56
05/13/2022,$19.70,7480490,$19.69,$20.25,$18.93
05/12/2022,$18.31,10183410,$18.38,$19.48,$17.48
05/11/2022,$19.09,10259240,$20.145,$21.51,$18.97
05/10/2022,$21.23,5847394,$21.685,$22.04,$20.80
05/09/2022,$20.904,12949140,$22.50,$22.90,$20.55
05/06/2022,$25.02,3800682,$24.675,$25.18,$24.08
05/05/2022,$25.02,4696329,$27.49,$27.50,$24.71
05/04/2022,$27.76,3229872,$26.44,$27.89,$26.32
05/03/2022,$25.70,2991465,$26.15,$26.38,$25.62
05/02/2022,$26.17,5133243,$26.35,$26.50,$25.50
04/29/2022,$26.38,2725459,$27.05,$27.41,$26.26
04/28/2022,$27.83,2307482,$27.26,$28.04,$26.79
04/27/2022,$26.86,2455133,$27.38,$27.68,$26.75
04/26/2022,$26.90,3538365,$28.37,$28.45,$26.75
04/25/2022,$28.62,3479619,$27.34,$28.65,$26.93
04/22/2022,$28.04,3365510,$28.73,$28.87,$27.58
04/21/2022,$29.34,3201981,$30.89,$31.40,$29.26
04/20/2022,$30.07,2293559,$30.48,$30.70,$29.75
04/19/2022,$30.18,2927925,$29.59,$30.49,$29.53
04/18/2022,$29.50,3587154,$28.095,$29.69,$27.89
04/14/2022,$28.50,3070063,$29.15,$29.3525,$28.15
04/13/2022,$29.19,3446514,$27.55,$29.32,$27.51
04/12/2022,$27.38,3301748,$28.09,$28.55,$27.35
04/11/2022,$27.78,4708156,$28.58,$28.72,$27.71
04/08/2022,$29.82,4316192,$29.97,$30.88,$29.60
04/07/2022,$30.38,3769516,$29.95,$30.75,$29.75
04/06/2022,$30.21,6273747,$31.21,$31.22,$29.73
04/05/2022,$32.13,4528801,$32.27,$32.59,$31.62
04/04/2022,$32.08,3972532,$31.84,$32.15,$31.04
04/01/2022,$32.05,5141102,$30.52,$32.14,$30.45
03/31/2022,$30.54,3344340,$32.21,$32.35,$30.51
03/30/2022,$32.06,3700980,$32.495,$32.96,$31.52
03/29/2022,$32.87,3836424,$32.91,$33.18,$32.30
03/28/2022,$32.81,5912152,$31.96,$33.16,$31.93
03/25/2022,$30.17,4851259,$31.21,$31.53,$29.95
03/24/2022,$30.51,5407730,$29.14,$30.68,$29.00
03/23/2022,$28.61,2347457,$28.63,$29.20,$28.23
03/22/2022,$28.75,3865329,$28.95,$29.49,$28.69
03/21/2022,$27.69,2927885,$28.19,$28.46,$27.30
03/18/2022,$28.70,3433417,$27.34,$28.74,$27.13
03/17/2022,$27.65,3223358,$27.50,$27.70,$27.12
03/16/2022,$27.50,3676874,$26.69,$27.50,$25.94
03/15/2022,$26.34,2447578,$25.21,$26.50,$25.035
03/14/2022,$25.40,2646606,$25.81,$26.07,$25.12
03/11/2022,$25.51,4703749,$26.57,$26.722,$25.30
03/10/2022,$26.60,4564475,$26.36,$26.95,$26.00
03/09/2022,$28.10,5106468,$28.10,$28.80,$28.00
03/08/2022,$25.50,5617992,$25.495,$26.36,$25.16
03/07/2022,$24.67,6599869,$25.91,$26.44,$24.56
03/04/2022,$26.13,6319954,$27.75,$27.93,$25.56
03/03/2022,$28.11,4380178,$30.19,$30.25,$28.01
03/02/2022,$30.177,4982451,$30.65,$31.80,$29.80
03/01/2022,$30.75,7559536,$31.225,$31.29,$29.91
02/28/2022,$29.39,7090485,$27.00,$29.50,$26.90
02/25/2022,$27.175,4890141,$27.17,$27.34,$24.56
02/24/2022,$26.59,10243630,$24.13,$27.60,$24.03
02/23/2022,$25.63,4338204,$26.74,$26.87,$25.38
02/22/2022,$25.93,7816488,$25.65,$26.48,$25.50
02/18/2022,$27.30,7645658,$28.14,$28.17,$26.97
02/17/2022,$28.34,7360545,$29.91,$29.9865,$28.30
02/16/2022,$31.12,3790140,$31.10,$31.50,$30.40
02/15/2022,$31.29,3545597,$31.01,$31.40,$30.88
02/14/2022,$29.45,4587304,$29.58,$30.05,$29.04
02/11/2022,$29.61,8029263,$30.585,$31.10,$29.24
02/10/2022,$31.00,8048152,$31.165,$32.70,$30.67
02/09/2022,$32.08,6358491,$31.25,$32.08,$30.50
02/08/2022,$31.35,6905555,$30.34,$31.36,$29.68
02/07/2022,$30.57,8606425,$29.70,$31.17,$29.60
02/04/2022,$27.96,6349117,$25.51,$28.24,$25.51
02/03/2022,$24.63,4814282,$24.86,$25.37,$24.52
02/02/2022,$25.55,4057391,$26.14,$26.14,$25.01
02/01/2022,$26.27,4524791,$26.61,$26.75,$25.91
01/31/2022,$26.24,4465447,$25.65,$26.49,$25.17
01/28/2022,$25.735,5559886,$25.05,$25.75,$24.62
01/27/2022,$24.11,5814702,$25.455,$25.81,$24.07
01/26/2022,$25.44,7612790,$26.50,$27.40,$25.25
01/25/2022,$25.43,8392737,$25.55,$25.95,$24.58
01/24/2022,$25.8965,16244680,$22.57,$26.00,$22.22
01/21/2022,$25.59,15644190,$26.16,$26.73,$25.06
01/20/2022,$29.02,6624403,$28.78,$29.68,$28.65
